subject_id,session_id,signal,source_rows,start_time,end_time,duration_seconds,expected_sampling_rate_hz,observed_sampling_rate_hz,sampling_rate_valid,invalid_value_count,source_file,issue
f03,f03,ACC,115062,2013-06-12 18:28:42+00:00,2013-06-12 19:28:37.656250+00:00,3595.65625,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/f03/ACC.csv,None
f04,f04,HR,3637,2013-06-15 19:44:34+00:00,2013-06-15 20:45:10+00:00,3636.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/f04/HR.csv,None
f04,f04,EDA,14592,2013-06-15 19:44:24+00:00,2013-06-15 20:45:11.750000+00:00,3647.75,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/f04/EDA.csv,None
f04,f04,ACC,116700,2013-06-15 19:44:24+00:00,2013-06-15 20:45:10.843750+00:00,3646.84375,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/f04/ACC.csv,None
f05,f05,HR,4583,2013-07-02 10:07:40+00:00,2013-07-02 11:24:02+00:00,4582.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/f05/HR.csv,None
f05,f05,EDA,18372,2013-07-02 10:07:30+00:00,2013-07-02 11:24:02.750000+00:00,4592.75,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/f05/EDA.csv,None
f05,f05,ACC,146958,2013-07-02 10:07:30+00:00,2013-07-02 11:24:02.406250+00:00,4592.40625,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/f05/ACC.csv,None
f06,f06,HR,3163,2013-07-11 16:05:09+00:00,2013-07-11 16:57:51+00:00,3162.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/f06/HR.csv,None
f06,f06,EDA,12690,2013-07-11 16:04:59+00:00,2013-07-11 16:57:51.250000+00:00,3172.25,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/f06/EDA.csv,None
f06,f06,ACC,101508,2013-07-11 16:04:59+00:00,2013-07-11 16:57:51.093750+00:00,3172.09375,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/f06/ACC.csv,None
f07,f07,HR,3448,2013-07-12 20:01:55+00:00,2013-07-12 20:59:22+00:00,3447.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/f07/HR.csv,None
f07,f07,EDA,13824,2013-07-12 20:01:45+00:00,2013-07-12 20:59:20.750000+00:00,3455.75,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/f07/EDA.csv,None
f07,f07,ACC,110652,2013-07-12 20:01:45+00:00,2013-07-12 20:59:22.843750+00:00,3457.84375,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/f07/ACC.csv,None
f08,f08,HR,3171,2013-07-03 19:16:47+00:00,2013-07-03 20:09:37+00:00,3170.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/f08/HR.csv,None
f08,f08,EDA,12726,2013-07-03 19:16:37+00:00,2013-07-03 20:09:38.250000+00:00,3181.25,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/f08/EDA.csv,None
f08,f08,ACC,101784,2013-07-03 19:16:37+00:00,2013-07-03 20:09:37.718750+00:00,3180.71875,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/f08/ACC.csv,None
f09,f09,HR,3224,2013-06-30 12:03:51+00:00,2013-06-30 12:57:34+00:00,3223.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/f09/HR.csv,None
f09,f09,EDA,12930,2013-06-30 12:03:41+00:00,2013-06-30 12:57:33.250000+00:00,3232.25,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/f09/EDA.csv,None
f09,f09,ACC,103470,2013-06-30 12:03:41+00:00,2013-06-30 12:57:34.406250+00:00,3233.40625,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/f09/ACC.csv,None
f10,f10,HR,2723,2013-06-30 09:59:54+00:00,2013-06-30 10:45:16+00:00,2722.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/f10/HR.csv,None
f10,f10,EDA,10938,2013-06-30 09:59:44+00:00,2013-06-30 10:45:18.250000+00:00,2734.25,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/f10/EDA.csv,None
f10,f10,ACC,87432,2013-06-30 09:59:44+00:00,2013-06-30 10:45:16.218750+00:00,2732.21875,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/f10/ACC.csv,None
f11,f11,HR,3113,2013-07-14 18:02:50+00:00,2013-07-14 18:54:42+00:00,3112.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/f11/HR.csv,None
f11,f11,EDA,12486,2013-07-14 18:02:40+00:00,2013-07-14 18:54:41.250000+00:00,3121.25,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/f11/EDA.csv,None
f11,f11,ACC,99924,2013-07-14 18:02:40+00:00,2013-07-14 18:54:42.593750+00:00,3122.59375,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/f11/ACC.csv,None
f12,f12,HR,4798,2013-07-01 15:21:27+00:00,2013-07-01 16:41:24+00:00,4797.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/f12/HR.csv,None
f12,f12,EDA,19236,2013-07-01 15:21:17+00:00,2013-07-01 16:41:25.750000+00:00,4808.75,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/f12/EDA.csv,None
f12,f12,ACC,153852,2013-07-01 15:21:17+00:00,2013-07-01 16:41:24.843750+00:00,4807.84375,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/f12/ACC.csv,None
f13,f13,HR,3852,2013-07-03 10:51:34+00:00,2013-07-03 11:55:45+00:00,3851.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/f13/HR.csv,None
f13,f13,EDA,15462,2013-07-03 10:51:24+00:00,2013-07-03 11:55:49.250000+00:00,3865.25,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/f13/EDA.csv,None
f13,f13,ACC,123558,2013-07-03 10:51:24+00:00,2013-07-03 11:55:45.156250+00:00,3861.15625,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/f13/ACC.csv,None
f14,f14_a,HR,694,2013-07-12 22:46:49+00:00,2013-07-12 22:58:22+00:00,693.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/f14_a/HR.csv,None
f14,f14_a,EDA,2814,2013-07-12 22:46:39+00:00,2013-07-12 22:58:22.250000+00:00,703.25,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/f14_a/EDA.csv,None
f14,f14_a,ACC,22518,2013-07-12 22:46:39+00:00,2013-07-12 22:58:22.656250+00:00,703.65625,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/f14_a/ACC.csv,None
f14,f14_b,HR,2159,2013-07-12 23:00:04+00:00,2013-07-12 23:36:02+00:00,2158.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/f14_b/HR.csv,None
f14,f14_b,EDA,8682,2013-07-12 22:59:54+00:00,2013-07-12 23:36:04.250000+00:00,2170.25,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/f14_b/EDA.csv,None
f14,f14_b,ACC,69402,2013-07-12 22:59:54+00:00,2013-07-12 23:36:02.781250+00:00,2168.78125,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/f14_b/ACC.csv,None
f15,f15,HR,4210,2013-07-13 17:19:57+00:00,2013-07-13 18:30:06+00:00,4209.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/f15/HR.csv,None
f15,f15,EDA,16878,2013-07-13 17:19:47+00:00,2013-07-13 18:30:06.250000+00:00,4219.25,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/f15/EDA.csv,None
f15,f15,ACC,135042,2013-07-13 17:19:47+00:00,2013-07-13 18:30:07.031250+00:00,4220.03125,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/f15/ACC.csv,None
f16,f16,HR,3231,2013-07-19 10:53:05+00:00,2013-07-19 11:46:55+00:00,3230.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/f16/HR.csv,None
f16,f16,EDA,12954,2013-07-19 10:52:55+00:00,2013-07-19 11:46:53.250000+00:00,3238.25,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/f16/EDA.csv,None
f16,f16,ACC,103686,2013-07-19 10:52:55+00:00,2013-07-19 11:46:55.156250+00:00,3240.15625,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/f16/ACC.csv,None
f17,f17,HR,3432,2013-07-20 16:01:02+00:00,2013-07-20 16:58:13+00:00,3431.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/f17/HR.csv,None
f17,f17,EDA,13758,2013-07-20 16:00:52+00:00,2013-07-20 16:58:11.250000+00:00,3439.25,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/f17/EDA.csv,None
f17,f17,ACC,110142,2013-07-20 16:00:52+00:00,2013-07-20 16:58:13.906250+00:00,3441.90625,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/f17/ACC.csv,None
f18,f18,HR,3132,2013-07-21 19:25:20+00:00,2013-07-21 20:17:31+00:00,3131.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/f18/HR.csv,None
f18,f18,EDA,12552,2013-07-21 19:25:10+00:00,2013-07-21 20:17:27.750000+00:00,3137.75,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/f18/EDA.csv,None
f18,f18,ACC,100524,2013-07-21 19:25:10+00:00,2013-07-21 20:17:31.343750+00:00,3141.34375,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/f18/ACC.csv,None
